Category,Resume_str
Cybersecurity,"Experienced Security Analyst with 4+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Analyst at Fortinet (2017–2019): Led initiatives involving CISSP, forensics, and CEH. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging vulnerability assessment and cryptography. Junior Security Analyst at CrowdStrike (2019–2021): Worked on projects using IAM, firewalls, and GDPR compliance. Contributed to team goals and supported senior staff with OWASP tasks. Technical Skills: CISSP, forensics, CEH, vulnerability assessment, cryptography, IAM, firewalls, GDPR compliance, OWASP, malware analysis Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in malware analysis and IAM."
Product Management,"Experienced Associate PM with 7+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. Associate PM at Productboard (2018–2021): Led initiatives involving data analysis, sprint planning, and SQL. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging stakeholder management and user research. Junior Associate PM at Linear (2021–2025): Worked on projects using product roadmap, A/B testing, and Figma. Contributed to team goals and supported senior staff with Amplitude tasks. Technical Skills: data analysis, sprint planning, SQL, stakeholder management, user research, product roadmap, A/B testing, Figma, Amplitude, Agile Education: MBA from Stanford GSB. Certifications: Completed relevant professional development in stakeholder management and Agile."
Marketing,"Experienced Brand Manager with 8+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Brand Manager at HubSpot (2017–2022): Led initiatives involving market research, SEO, and Facebook Ads. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging copywriting and HubSpot. Junior Brand Manager at Nike (2022–2025): Worked on projects using paid media, social media management, and A/B testing. Contributed to team goals and supported senior staff with influencer marketing tasks. Technical Skills: market research, SEO, Facebook Ads, copywriting, HubSpot, paid media, social media management, A/B testing, influencer marketing, campaign management Education: B.S. in Business from USC. Certifications: Completed relevant professional development in social media management and social media management."
Human Resources,"Experienced CHRO with 8+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. CHRO at McKinsey (2015–2020): Led initiatives involving organizational development, compliance, and conflict resolution. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging talent acquisition and retention strategies. Junior CHRO at IBM (2020–2023): Worked on projects using labor law, SAP HR, and employer branding. Contributed to team goals and supported senior staff with training and development tasks. Technical Skills: organizational development, compliance, conflict resolution, talent acquisition, retention strategies, labor law, SAP HR, employer branding, training and development, workforce planning Education: B.S. in Human Resources from Michigan State. Certifications: Completed relevant professional development in retention strategies and employer branding."
Healthcare,"Experienced Clinical Research Associate with 2+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Clinical Research Associate at UnitedHealth (2020–2021): Led initiatives involving public health, case management, and healthcare analytics. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging nursing and ICD-10. Junior Clinical Research Associate at Pfizer (2021–2022): Worked on projects using Epic, care coordination, and clinical research. Contributed to team goals and supported senior staff with CPT coding tasks. Technical Skills: public health, case management, healthcare analytics, nursing, ICD-10, Epic, care coordination, clinical research, CPT coding, surgical assistance Education: B.S. in Healthcare Administration from Ohio State. Certifications: Completed relevant professional development in clinical research and ICD-10."
Finance,"Experienced CFO with 9+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. CFO at Morgan Stanley (2015–2020): Led initiatives involving forecasting, budgeting, and financial modeling. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging risk management and CFA. Junior CFO at Two Sigma (2020–2024): Worked on projects using Excel, credit analysis, and DCF analysis. Contributed to team goals and supported senior staff with Bloomberg tasks. Technical Skills: forecasting, budgeting, financial modeling, risk management, CFA, Excel, credit analysis, DCF analysis, Bloomberg, SQL Education: B.S. in Finance from Wharton. Certifications: Completed relevant professional development in DCF analysis and forecasting."
Software Engineer,"Experienced Platform Engineer with 8+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Twilio (2018–2023): Led initiatives involving Python, C++, and microservices. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Kubernetes and Java. Junior Platform Engineer at Atlassian (2023–2026): Worked on projects using React, Linux, and Agile. Contributed to team goals and supported senior staff with Node.js tasks. Technical Skills: Python, C++, microservices, Kubernetes, Java, React, Linux, Agile, Node.js, REST APIs Education: M.S. in Software Engineering from Purdue. Certifications: Completed relevant professional development in REST APIs and REST APIs."
Data Science,"Experienced Data Scientist with 5+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Data Scientist at Netflix (2019–2022): Led initiatives involving statistical modeling, scikit-learn, and machine learning. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging NLP and Tableau. Junior Data Scientist at Airbnb (2022–2024): Worked on projects using Jupyter, pandas, and R. Contributed to team goals and supported senior staff with Python tasks. Technical Skills: statistical modeling, scikit-learn, machine learning, NLP, Tableau, Jupyter, pandas, R, Python, A/B testing Education: M.S. in Data Science from Stanford University. Certifications: Completed relevant professional development in Python and Python."
Finance,"Experienced Risk Analyst with 7+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Risk Analyst at Goldman Sachs (2019–2022): Led initiatives involving risk management, financial modeling, and SQL. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging budgeting and Bloomberg. Junior Risk Analyst at Morgan Stanley (2022–2026): Worked on projects using M&A, portfolio management, and fixed income. Contributed to team goals and supported senior staff with credit analysis tasks. Technical Skills: risk management, financial modeling, SQL, budgeting, Bloomberg, M&A, portfolio management, fixed income, credit analysis, financial reporting Education: CFA Charterholder. Certifications: Completed relevant professional development in fixed income and risk management."
Marketing,"Experienced Growth Marketer with 6+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Growth Marketer at Unilever (2017–2022): Led initiatives involving Google Analytics, brand strategy, and copywriting. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging campaign management and A/B testing. Junior Growth Marketer at Spotify (2022–2023): Worked on projects using market research, Salesforce, and content strategy. Contributed to team goals and supported senior staff with conversion optimization tasks. Technical Skills: Google Analytics, brand strategy, copywriting, campaign management, A/B testing, market research, Salesforce, content strategy, conversion optimization, Facebook Ads Education: B.S. in Business from USC. Certifications: Completed relevant professional development in Google Analytics and campaign management."
Software Engineer,"Experienced Backend Developer with 5+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Backend Developer at Apple (2019–2022): Led initiatives involving Git, Agile, and Python. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging CI/CD and Node.js. Junior Backend Developer at GitHub (2022–2024): Worked on projects using Terraform, REST APIs, and Go. Contributed to team goals and supported senior staff with Docker tasks. Technical Skills: Git, Agile, Python, CI/CD, Node.js, Terraform, REST APIs, Go, Docker, Redis Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in Node.js and Python."
Software Engineer,"Experienced Senior SWE with 6+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Senior SWE at Shopify (2020–2023): Led initiatives involving React, microservices, and Node.js. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Redis and Docker. Junior Senior SWE at Atlassian (2023–2026): Worked on projects using gRPC, CI/CD, and Terraform. Contributed to team goals and supported senior staff with REST APIs tasks. Technical Skills: React, microservices, Node.js, Redis, Docker, gRPC, CI/CD, Terraform, REST APIs, Kubernetes Education: M.S. in Software Engineering from Purdue. Certifications: Completed relevant professional development in CI/CD and Node.js."
Human Resources,"Experienced HR Business Partner with 6+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. HR Business Partner at ADP (2016–2019): Led initiatives involving workforce planning, performance management, and compensation and benefits. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging SAP HR and diversity and inclusion. Junior HR Business Partner at Accenture (2019–2022): Worked on projects using succession planning, retention strategies, and talent acquisition. Contributed to team goals and supported senior staff with employee relations tasks. Technical Skills: workforce planning, performance management, compensation and benefits, SAP HR, diversity and inclusion, succession planning, retention strategies, talent acquisition, employee relations, onboarding Education: MBA with HR concentration from Indiana University. Certifications: Completed relevant professional development in workforce planning and workforce planning."
Human Resources,"Experienced Recruiter with 3+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. Recruiter at ADP (2018–2019): Led initiatives involving organizational development, training and development, and talent acquisition. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging diversity and inclusion and labor law. Junior Recruiter at Accenture (2019–2021): Worked on projects using SAP HR, performance management, and compliance. Contributed to team goals and supported senior staff with retention strategies tasks. Technical Skills: organizational development, training and development, talent acquisition, diversity and inclusion, labor law, SAP HR, performance management, compliance, retention strategies, workforce planning Education: B.S. in Human Resources from Michigan State. Certifications: Completed relevant professional development in workforce planning and workforce planning."
Web Developer,"Experienced React Developer with 5+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. React Developer at Wix (2020–2024): Led initiatives involving JavaScript, HTML, and Firebase. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging TypeScript and responsive design. Junior React Developer at Automattic (2024–2025): Worked on projects using Webpack, Tailwind CSS, and GraphQL. Contributed to team goals and supported senior staff with Node.js tasks. Technical Skills: JavaScript, HTML, Firebase, TypeScript, responsive design, Webpack, Tailwind CSS, GraphQL, Node.js, CSS Education: B.S. in Computer Science from UCLA. Certifications: Completed relevant professional development in responsive design and Tailwind CSS."
DevOps,"Experienced Platform Engineer with 8+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Fastly (2019–2024): Led initiatives involving infrastructure as code, Docker, and Grafana. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging ELK Stack and Jenkins. Junior Platform Engineer at Cloudflare (2024–2027): Worked on projects using AWS, Prometheus, and Terraform. Contributed to team goals and supported senior staff with Nginx tasks. Technical Skills: infrastructure as code, Docker, Grafana, ELK Stack, Jenkins, AWS, Prometheus, Terraform, Nginx, Linux Education: B.S. in Computer Science from University of Washington. Certifications: Completed relevant professional development in Prometheus and Prometheus."
Healthcare,"Experienced Physician with 6+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Physician at Johnson & Johnson (2017–2020): Led initiatives involving HIPAA compliance, public health, and Epic. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging clinical research and BLS. Junior Physician at UnitedHealth (2020–2023): Worked on projects using diagnostic imaging, infection control, and surgical assistance. Contributed to team goals and supported senior staff with ICD-10 tasks. Technical Skills: HIPAA compliance, public health, Epic, clinical research, BLS, diagnostic imaging, infection control, surgical assistance, ICD-10, healthcare analytics Education: B.S. in Healthcare Administration from Ohio State. Certifications: Completed relevant professional development in diagnostic imaging and public health."
DevOps,"Experienced SRE with 4+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. SRE at Cloudflare (2020–2023): Led initiatives involving CI/CD pipelines, infrastructure as code, and Bash scripting. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging GitOps and Ansible. Junior SRE at HashiCorp (2023–2024): Worked on projects using Linux, site reliability engineering, and GCP. Contributed to team goals and supported senior staff with Kubernetes tasks. Technical Skills: CI/CD pipelines, infrastructure as code, Bash scripting, GitOps, Ansible, Linux, site reliability engineering, GCP, Kubernetes, Docker Education: B.S. in Information Technology from RIT. Certifications: Completed relevant professional development in infrastructure as code and Docker."
Marketing,"Experienced CMO with 5+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. CMO at Ogilvy (2019–2022): Led initiatives involving Google Analytics, marketing automation, and conversion optimization. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging market research and digital marketing. Junior CMO at P&G (2022–2024): Worked on projects using content strategy, HubSpot, and A/B testing. Contributed to team goals and supported senior staff with influencer marketing tasks. Technical Skills: Google Analytics, marketing automation, conversion optimization, market research, digital marketing, content strategy, HubSpot, A/B testing, influencer marketing, Salesforce Education: MBA from Kellogg School of Management. Certifications: Completed relevant professional development in digital marketing and A/B testing."
Finance,"Experienced Financial Analyst with 5+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Financial Analyst at Citadel (2018–2021): Led initiatives involving Python, risk management, and M&A. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging SQL and Bloomberg. Junior Financial Analyst at Two Sigma (2021–2023): Worked on projects using valuation, financial modeling, and fixed income. Contributed to team goals and supported senior staff with Excel tasks. Technical Skills: Python, risk management, M&A, SQL, Bloomberg, valuation, financial modeling, fixed income, Excel, DCF analysis Education: CFA Charterholder. Certifications: Completed relevant professional development in risk management and Python."
Software Engineer,"Experienced Platform Engineer with 7+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Salesforce (2016–2019): Led initiatives involving gRPC, Docker, and Java. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Python and AWS. Junior Platform Engineer at Apple (2019–2023): Worked on projects using Node.js, Linux, and REST APIs. Contributed to team goals and supported senior staff with React tasks. Technical Skills: gRPC, Docker, Java, Python, AWS, Node.js, Linux, REST APIs, React, CI/CD Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in React and Java."
Human Resources,"Experienced Recruiter with 4+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. Recruiter at IBM (2020–2021): Led initiatives involving employer branding, diversity and inclusion, and performance management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging talent acquisition and HRIS. Junior Recruiter at Deloitte (2021–2024): Worked on projects using Workday, workforce planning, and onboarding. Contributed to team goals and supported senior staff with HR analytics tasks. Technical Skills: employer branding, diversity and inclusion, performance management, talent acquisition, HRIS, Workday, workforce planning, onboarding, HR analytics, SAP HR Education: M.S. in Organizational Psychology from Columbia. Certifications: Completed relevant professional development in workforce planning and talent acquisition."
DevOps,"Experienced SRE with 8+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. SRE at HashiCorp (2015–2020): Led initiatives involving Bash scripting, Terraform, and Docker. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Azure and Ansible. Junior SRE at PagerDuty (2020–2023): Worked on projects using Prometheus, Linux, and Helm. Contributed to team goals and supported senior staff with GCP tasks. Technical Skills: Bash scripting, Terraform, Docker, Azure, Ansible, Prometheus, Linux, Helm, GCP, GitOps Education: AWS Certified Solutions Architect. Certifications: Completed relevant professional development in GCP and Ansible."
Cybersecurity,"Experienced Security Analyst with 9+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Analyst at Fortinet (2016–2021): Led initiatives involving malware analysis, NIST, and GDPR compliance. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging cloud security and vulnerability assessment. Junior Security Analyst at FireEye (2021–2025): Worked on projects using penetration testing, SOC, and cryptography. Contributed to team goals and supported senior staff with OWASP tasks. Technical Skills: malware analysis, NIST, GDPR compliance, cloud security, vulnerability assessment, penetration testing, SOC, cryptography, OWASP, CISSP Education: CEH Certified. Certifications: Completed relevant professional development in penetration testing and OWASP."
DevOps,"Experienced Platform Engineer with 9+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Cloudflare (2015–2020): Led initiatives involving Ansible, Prometheus, and AWS. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging infrastructure as code and monitoring and alerting. Junior Platform Engineer at HashiCorp (2020–2024): Worked on projects using Grafana, Helm, and ELK Stack. Contributed to team goals and supported senior staff with Azure tasks. Technical Skills: Ansible, Prometheus, AWS, infrastructure as code, monitoring and alerting, Grafana, Helm, ELK Stack, Azure, CI/CD pipelines Education: AWS Certified Solutions Architect. Certifications: Completed relevant professional development in Ansible and Azure."
Healthcare,"Experienced Registered Nurse with 6+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Registered Nurse at Johnson & Johnson (2020–2025): Led initiatives involving healthcare analytics, care coordination, and Epic. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging ICD-10 and diagnostic imaging. Junior Registered Nurse at Mayo Clinic (2025–2026): Worked on projects using pharmacology, BLS, and patient care. Contributed to team goals and supported senior staff with infection control tasks. Technical Skills: healthcare analytics, care coordination, Epic, ICD-10, diagnostic imaging, pharmacology, BLS, patient care, infection control, surgical assistance Education: M.D. from University of Michigan Medical School. Certifications: Completed relevant professional development in patient care and ICD-10."
Finance,"Experienced Risk Analyst with 5+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Risk Analyst at JP Morgan (2020–2024): Led initiatives involving risk management, financial reporting, and Excel. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging fixed income and forecasting. Junior Risk Analyst at Bridgewater (2024–2025): Worked on projects using valuation, credit analysis, and SQL. Contributed to team goals and supported senior staff with M&A tasks. Technical Skills: risk management, financial reporting, Excel, fixed income, forecasting, valuation, credit analysis, SQL, M&A, portfolio management Education: B.S. in Finance from Wharton. Certifications: Completed relevant professional development in M&A and forecasting."
Finance,"Experienced Risk Analyst with 5+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Risk Analyst at Citadel (2015–2018): Led initiatives involving risk management, financial modeling, and credit analysis. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging equity research and Python. Junior Risk Analyst at Goldman Sachs (2018–2020): Worked on projects using M&A, DCF analysis, and derivatives. Contributed to team goals and supported senior staff with Excel tasks. Technical Skills: risk management, financial modeling, credit analysis, equity research, Python, M&A, DCF analysis, derivatives, Excel, fixed income Education: B.S. in Economics from University of Chicago. Certifications: Completed relevant professional development in credit analysis and financial modeling."
Finance,"Experienced Portfolio Manager with 6+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Portfolio Manager at Bridgewater (2017–2022): Led initiatives involving M&A, financial modeling, and investment banking. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Python and portfolio management. Junior Portfolio Manager at Morgan Stanley (2022–2023): Worked on projects using derivatives, CFA, and budgeting. Contributed to team goals and supported senior staff with Bloomberg tasks. Technical Skills: M&A, financial modeling, investment banking, Python, portfolio management, derivatives, CFA, budgeting, Bloomberg, Excel Education: MBA from Harvard Business School. Certifications: Completed relevant professional development in Python and M&A."
Product Management,"Experienced Senior PM with 9+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. Senior PM at Meta (2020–2025): Led initiatives involving go-to-market strategy, data analysis, and Agile. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging product roadmap and A/B testing. Junior Senior PM at Linear (2025–2029): Worked on projects using product metrics, Scrum, and wireframing. Contributed to team goals and supported senior staff with Figma tasks. Technical Skills: go-to-market strategy, data analysis, Agile, product roadmap, A/B testing, product metrics, Scrum, wireframing, Figma, user research Education: B.S. in Computer Science from Cornell. Certifications: Completed relevant professional development in Scrum and wireframing."
Human Resources,"Experienced CHRO with 4+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. CHRO at LinkedIn (2017–2018): Led initiatives involving training and development, retention strategies, and workforce planning. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging conflict resolution and organizational development. Junior CHRO at ADP (2018–2021): Worked on projects using ATS, labor law, and onboarding. Contributed to team goals and supported senior staff with HR analytics tasks. Technical Skills: training and development, retention strategies, workforce planning, conflict resolution, organizational development, ATS, labor law, onboarding, HR analytics, performance management Education: M.S. in Organizational Psychology from Columbia. Certifications: Completed relevant professional development in performance management and organizational development."
Web Developer,"Experienced UI Developer with 6+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. UI Developer at Webflow (2016–2018): Led initiatives involving Tailwind CSS, React, and MongoDB. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Next.js and Firebase. Junior UI Developer at WordPress (2018–2022): Worked on projects using Vue.js, JavaScript, and accessibility. Contributed to team goals and supported senior staff with CSS tasks. Technical Skills: Tailwind CSS, React, MongoDB, Next.js, Firebase, Vue.js, JavaScript, accessibility, CSS, Sass Education: B.S. in Computer Science from UCLA. Certifications: Completed relevant professional development in MongoDB and Next.js."
